ID,income_bracket
ID_130162,0
ID_130163,0
ID_130164,0
ID_130165,1
ID_130166,0
ID_130167,1
ID_130168,0
ID_130169,0
ID_130170,0
ID_130171,1
ID_130172,0
ID_130173,1
ID_130174,1
ID_130175,0
ID_130176,1
ID_130177,0
ID_130178,1
ID_130179,0
ID_130180,0
ID_130181,0
ID_130182,0
ID_130183,0
ID_130184,0
ID_130185,0
ID_130186,0
ID_130187,0
ID_130188,0
ID_130189,0
ID_130190,0
ID_130191,0
ID_130192,1
ID_130193,0
ID_130194,0
ID_130195,0
ID_130196,1
ID_130197,1
ID_130198,0
ID_130199,0
ID_130200,0
ID_130201,0
ID_130202,0
ID_130203,0
ID_130204,0
ID_130205,0
ID_130206,0
ID_130207,0
ID_130208,0
ID_130209,0
ID_130210,0
ID_130211,0
ID_130212,0
ID_130213,1
ID_130214,1
ID_130215,0
ID_130216,0
ID_130217,0
ID_130218,0
ID_130219,0
ID_130220,0
ID_130221,0
ID_130222,0
ID_130223,0
ID_130224,0
ID_130225,1
ID_130226,1
ID_130227,0
ID_130228,0
ID_130229,0
ID_130230,0
ID_130231,0
ID_130232,0
ID_130233,0
ID_130234,1
ID_130235,0
ID_130236,0
ID_130237,0
ID_130238,0
ID_130239,0
ID_130240,1
ID_130241,0
ID_130242,0
ID_130243,0
ID_130244,1
ID_130245,0
ID_130246,0
ID_130247,0
ID_130248,0
ID_130249,0
ID_130250,0
ID_130251,0
ID_130252,0
ID_130253,0
ID_130254,0
ID_130255,0
ID_130256,0
ID_130257,1
ID_130258,0
ID_130259,0
ID_130260,0
ID_130261,0
ID_130262,0
ID_130263,0
ID_130264,0
ID_130265,0
ID_130266,0
ID_130267,0
ID_130268,0
ID_130269,0
ID_130270,0
ID_130271,0
ID_130272,0
ID_130273,0
ID_130274,0
ID_130275,0
ID_130276,0
ID_130277,0
ID_130278,0
ID_130279,1
ID_130280,0
ID_130281,0
ID_130282,1
ID_130283,0
ID_130284,0
ID_130285,0
ID_130286,0
ID_130287,0
ID_130288,0
ID_130289,1
ID_130290,0
ID_130291,1
ID_130292,1
ID_130293,0
ID_130294,0
ID_130295,0
ID_130296,0
ID_130297,1
ID_130298,0
ID_130299,0
ID_130300,0
ID_130301,0
ID_130302,0
ID_130303,1
ID_130304,0
ID_130305,0
ID_130306,0
ID_130307,0
ID_130308,0
ID_130309,0
ID_130310,0
ID_130311,0
ID_130312,0
ID_130313,1
ID_130314,0
ID_130315,0
ID_130316,0
ID_130317,0
ID_130318,0
ID_130319,1
ID_130320,0
ID_130321,0
ID_130322,0
ID_130323,0
ID_130324,0
ID_130325,0
ID_130326,0
ID_130327,0
ID_130328,1
ID_130329,0
ID_130330,1
ID_130331,0
ID_130332,0
ID_130333,0
ID_130334,0
ID_130335,0
ID_130336,1
ID_130337,0
ID_130338,0
ID_130339,0
ID_130340,0
ID_130341,0
ID_130342,0
